bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
2,2,2.0,78704,0,4.75,Q3,1,0,1,1,0,802000,138.0,0.0220750551876379
2,3,2.0,78702,1,4.93,Q3,0,1,0,0,0,613000,160.0,0.7
2,2,2.0,78722,0,5.0,Q3,0,0,1,1,0,595000,679.0,0.0204415372035977
0,1,1.0,78704,0,4.85,Q3,1,1,1,1,1,802000,97.0,0.6446280991735537
1,2,1.5,78745,1,4.81,Q3,0,0,1,1,0,456000,65.0,0.1237911025145067
3,3,1.0,78721,1,4.97,Q3,0,0,1,0,0,464000,146.0,0.4363124560168895
0,1,1.0,78705,0,4.79,Q3,1,0,1,1,0,353000,124.0,0.4380664652567976
2,5,2.0,78741,1,4.76,Q3,1,0,1,1,0,397000,97.0,0.2769739561802398
0,1,1.0,78705,0,4.65,Q3,1,0,1,1,0,353000,114.0,0.3690036900369003
2,2,1.5,78732,0,4.95,Q3,0,1,0,1,0,831000,599.0,0.5
0,1,1.0,78752,0,4.9,Q3,1,1,1,1,1,422000,69.0,0.120627261761158
4,6,3.0,78702,1,4.74,Q3,1,1,1,1,0,613000,407.0,0.7
2,2,1.5,78745,1,4.93,Q3,0,1,1,1,0,456000,127.0,0.398947829899167
3,3,2.0,78727,1,4.86,Q3,0,0,1,1,1,474000,116.0,0.6051344743276283
4,5,3.5,78704,1,5.0,Q3,0,0,1,0,0,802000,731.0,0.0159954298771779
2,3,1.0,78704,1,4.93,Q3,0,0,1,1,0,802000,233.0,0.0960658737419945
2,2,1.0,78745,1,4.67,Q3,0,1,1,1,0,456000,142.0,0.7
1,2,1.0,78752,0,4.18,Q3,0,0,1,1,0,422000,102.0,0.337609723160027
1,2,1.0,78723,0,4.33,Q3,1,0,1,1,0,502000,92.0,0.377886634009797
2,2,1.0,78751,0,4.31,Q3,0,0,1,1,0,636000,122.0,0.217983651226158
1,2,1.0,78723,0,4.55,Q3,1,0,1,1,0,502000,108.0,0.1450230718523401
3,3,2.0,78758,0,4.58,Q3,0,1,1,1,0,398000,125.0,0.6195652173913043
2,2,1.0,78702,1,4.96,Q3,0,0,1,0,0,613000,214.0,0.1184934405416843
1,2,1.0,78705,1,4.97,Q3,0,0,1,1,0,353000,150.0,0.0808765979650404
2,2,2.0,78733,0,4.83,Q3,0,1,1,1,0,1120000,353.0,0.0230902443717529
3,6,2.0,78702,1,4.86,Q3,1,0,1,0,0,613000,81.0,0.7
2,3,1.0,78702,1,4.78,Q3,0,0,1,1,0,613000,66.0,0.7
2,2,1.0,78721,1,4.88,Q3,0,1,1,1,0,464000,117.0,0.242016806722689
5,9,3.0,78702,1,4.8,Q3,0,0,1,1,0,613000,153.0,0.4648074369189907
